Locations;STARTING;location 1;location 2;location 3;location 4;location 5;location 6;location 7;location 8;location 9;location 10;location 11
STARTING;0,0,0;6440,3,1;6100,4,2;5830,3,2;3400,4,1;0,0,0;5920,3,1;3880,2,2;3220,1,0;0,0,0;0,0,0;2530,3,1
location 1;0,0,0;0,0,0;950,2,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0
location 2;0,0,0;0,0,0;0,0,0;1980,2,1;0,0,0;2380,1,2;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0
location 3;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;2000,1,1;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0
location 4;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;1210,1,1;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0
location 5;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;1180,1,1;0,0,0;0,0,0;0,0,0
location 6;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;2490,0,2;0,0,0;1660,1,2;0,0,0;0,0,0
location 7;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0
location 8;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;2550,0,1;0,0,0;0,0,0
location 9;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0
location 10;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;480,0,0
location 11;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0;0,0,0
